park_states,park_parkCode,park_designation,park_fullName,park_url,park_name,id,name
GA,jica,National Historical Park,Jimmy Carter National Historical Park,https://www.nps.gov/jica/index.htm,Jimmy Carter,B33DC9B6-0B7D-4322-BAD7-A13A34C584A3,Guided Tours
MA,jofi,National Historic Site,John Fitzgerald Kennedy National Historic Site,https://www.nps.gov/jofi/index.htm,John Fitzgerald Kennedy,B33DC9B6-0B7D-4322-BAD7-A13A34C584A3,Guided Tours
PA,jofl,National Memorial,Johnstown Flood National Memorial,https://www.nps.gov/jofl/index.htm,Johnstown Flood,B33DC9B6-0B7D-4322-BAD7-A13A34C584A3,Guided Tours
CA,jomu,National Historic Site,John Muir National Historic Site,https://www.nps.gov/jomu/index.htm,John Muir,B33DC9B6-0B7D-4322-BAD7-A13A34C584A3,Guided Tours
CA,jotr,National Park,Joshua Tree National Park,https://www.nps.gov/jotr/index.htm,Joshua Tree,B33DC9B6-0B7D-4322-BAD7-A13A34C584A3,Guided Tours
"AZ,CA",juba,National Historic Trail,Juan Bautista de Anza National Historic Trail,https://www.nps.gov/juba/index.htm,Juan Bautista de Anza,B33DC9B6-0B7D-4322-BAD7-A13A34C584A3,Guided Tours
HI,kaho,National Historical Park,Kaloko-Honokōhau National Historical Park,https://www.nps.gov/kaho/index.htm,Kaloko-Honokōhau,B33DC9B6-0B7D-4322-BAD7-A13A34C584A3,Guided Tours
HI,kala,National Historical Park,Kalaupapa National Historical Park,https://www.nps.gov/kala/index.htm,Kalaupapa,B33DC9B6-0B7D-4322-BAD7-A13A34C584A3,Guided Tours
AK,katm,National Park & Preserve,Katmai National Park & Preserve,https://www.nps.gov/katm/index.htm,Katmai,B33DC9B6-0B7D-4322-BAD7-A13A34C584A3,Guided Tours
DC,keaq,,Kenilworth Park & Aquatic Gardens,https://www.nps.gov/keaq/index.htm,Kenilworth Park & Aquatic Gardens,B33DC9B6-0B7D-4322-BAD7-A13A34C584A3,Guided Tours
AK,kefj,National Park,Kenai Fjords National Park,https://www.nps.gov/kefj/index.htm,Kenai Fjords,B33DC9B6-0B7D-4322-BAD7-A13A34C584A3,Guided Tours
GA,kemo,National Battlefield Park,Kennesaw Mountain National Battlefield Park,https://www.nps.gov/kemo/index.htm,Kennesaw Mountain,B33DC9B6-0B7D-4322-BAD7-A13A34C584A3,Guided Tours
MI,kewe,National Historical Park,Keweenaw National Historical Park,https://www.nps.gov/kewe/index.htm,Keweenaw,B33DC9B6-0B7D-4322-BAD7-A13A34C584A3,Guided Tours
SC,kimo,National Military Park,Kings Mountain National Military Park,https://www.nps.gov/kimo/index.htm,Kings Mountain,B33DC9B6-0B7D-4322-BAD7-A13A34C584A3,Guided Tours
AK,klgo,National Historical Park,Klondike Gold Rush National Historical Park,https://www.nps.gov/klgo/index.htm,Klondike Gold Rush,B33DC9B6-0B7D-4322-BAD7-A13A34C584A3,Guided Tours
WA,klse,National Historical Park,Klondike Gold Rush - Seattle Unit National Historical Park,https://www.nps.gov/klse/index.htm,Klondike Gold Rush - Seattle Unit,B33DC9B6-0B7D-4322-BAD7-A13A34C584A3,Guided Tours
ND,knri,National Historic Site,Knife River Indian Villages National Historic Site,https://www.nps.gov/knri/index.htm,Knife River Indian Villages,B33DC9B6-0B7D-4322-BAD7-A13A34C584A3,Guided Tours
DC,kowa,,Korean War Veterans Memorial,https://www.nps.gov/kowa/index.htm,Korean War Veterans Memorial,B33DC9B6-0B7D-4322-BAD7-A13A34C584A3,Guided Tours
CA,labe,National Monument,Lava Beds National Monument,https://www.nps.gov/labe/index.htm,Lava Beds,B33DC9B6-0B7D-4322-BAD7-A13A34C584A3,Guided Tours
AK,lacl,National Park & Preserve,Lake Clark National Park & Preserve,https://www.nps.gov/lacl/index.htm,Lake Clark,B33DC9B6-0B7D-4322-BAD7-A13A34C584A3,Guided Tours
"AZ,NV",lake,National Recreation Area,Lake Mead National Recreation Area,https://www.nps.gov/lake/index.htm,Lake Mead,B33DC9B6-0B7D-4322-BAD7-A13A34C584A3,Guided Tours
TX,lamr,National Recreation Area,Lake Meredith National Recreation Area,https://www.nps.gov/lamr/index.htm,Lake Meredith,B33DC9B6-0B7D-4322-BAD7-A13A34C584A3,Guided Tours
CA,lavo,National Park,Lassen Volcanic National Park,https://www.nps.gov/lavo/index.htm,Lassen Volcanic,B33DC9B6-0B7D-4322-BAD7-A13A34C584A3,Guided Tours
